,ID_start,ID_end,connexion capacity
0,BKK,ADD,6181
1,BKK,AKL,3794
2,BKK,AMS,11447
3,BKK,BOM,6703
4,BKK,CAI,10731
5,BKK,CAN,11447
6,BKK,CDG,11447
7,BKK,CGK,6703
8,BKK,CKG,5180
9,BKK,DEL,10731
10,BKK,DOH,11447
11,BKK,DXB,11447
12,BKK,FRA,11447
13,BKK,HKG,11447
14,BKK,HND,5673
15,BKK,ICN,11447
16,BKK,IST,11447
17,BKK,JNB,7789
18,BKK,KMG,5180
19,BKK,KUL,11447
20,BKK,LHR,11447
21,BKK,MAD,11447
22,BKK,MEL,5673
23,BKK,MNL,7240
24,BKK,NBO,5180
25,BKK,PEK,11447
26,BKK,PVG,11447
27,BKK,SGN,7240
28,BKK,SIN,11447
29,BKK,SVO,9517
30,BKK,SYD,9517
31,BKK,SZX,3794
32,BKK,TPE,11447
33,BOM,ADD,5442
34,BOM,AMS,10078
35,BOM,BKK,10078
36,BOM,CAI,9447
37,BOM,CDG,10078
38,BOM,DEL,9447
39,BOM,DOH,10078
40,BOM,DXB,10078
41,BOM,EWR,10078
42,BOM,FRA,10078
43,BOM,HKG,10078
44,BOM,ICN,10078
45,BOM,IST,10078
46,BOM,JED,8908
47,BOM,JNB,6858
48,BOM,KUL,10078
49,BOM,LHR,10078
50,BOM,NBO,4560
51,BOM,SIN,10078
52,CAI,ADD,7586
53,CAI,ALG,5203
54,CAI,AMS,14048
55,CAI,BCN,10250
56,CAI,BKK,14048
57,CAI,BOM,8227
58,CAI,CAN,14048
59,CAI,CDG,14048
60,CAI,CGK,8227
61,CAI,CMN,6962
62,CAI,DOH,14048
63,CAI,DXB,14048
64,CAI,FRA,14048
65,CAI,HRG,1110
66,CAI,IST,14048
67,CAI,JED,12417
68,CAI,JFK,14048
69,CAI,JNB,9559
70,CAI,LHR,14048
71,CAI,LOS,6357
72,CAI,MAD,14048
73,CAI,NBO,6357
74,CAI,PEK,14048
75,CAI,SVO,11679
76,CAI,TUN,4656
77,CAI,YYZ,14048
78,CAN,ADD,6459
79,CAN,AKL,3964
80,CAN,AMS,11962
81,CAN,BKK,11962
82,CAN,CAI,11213
83,CAN,CDG,11962
84,CAN,CGK,7005
85,CAN,CKG,5413
86,CAN,DEL,11213
87,CAN,DMK,3085
88,CAN,DOH,11962
89,CAN,DXB,11962
90,CAN,HGH,4430
91,CAN,HKG,11962
92,CAN,ICN,11962
93,CAN,IST,11962
94,CAN,JED,10573
95,CAN,KMG,5413
96,CAN,KUL,11962
97,CAN,LAX,11962
98,CAN,LHR,11962
99,CAN,MEL,5928
100,CAN,MNL,7565
101,CAN,NBO,5413
102,CAN,PEK,11962
103,CAN,PVG,11962
104,CAN,SGN,7565
105,CAN,SHA,1913
106,CAN,SIN,11962
107,CAN,SVO,9945
108,CAN,SYD,9945
109,CAN,TPE,11962
110,CAN,XIY,3516
111,CDG,ADD,3860
112,CDG,ALG,2648
113,CDG,AMS,7148
114,CDG,ATL,7148
115,CDG,BCN,5216
116,CDG,BKK,7148
117,CDG,BOG,3860
118,CDG,BOM,4186
119,CDG,BOS,5216
120,CDG,BSB,742
121,CDG,CAI,6701
122,CDG,CAN,7148
123,CDG,CLT,4864
124,CDG,CMN,3543
125,CDG,DEL,6701
126,CDG,DFW,7148
127,CDG,DOH,7148
128,CDG,DXB,7148
129,CDG,EWR,7148
130,CDG,EZE,3543
131,CDG,FRA,7148
132,CDG,GRU,7148
133,CDG,HKG,7148
134,CDG,HND,3543
135,CDG,IAH,7148
136,CDG,ICN,7148
137,CDG,IST,7148
138,CDG,JED,6318
139,CDG,JFK,7148
140,CDG,JNB,4864
141,CDG,KUL,7148
142,CDG,LAX,7148
143,CDG,LGW,2648
144,CDG,LHR,7148
145,CDG,LIM,3543
146,CDG,LOS,3235
147,CDG,MAD,7148
148,CDG,MEX,6318
149,CDG,MIA,7148
150,CDG,NBO,3235
151,CDG,ORD,7148
152,CDG,PEK,7148
153,CDG,PVG,7148
154,CDG,SCL,2648
155,CDG,SEA,6701
156,CDG,SFO,7148
157,CDG,SGN,4521
158,CDG,SIN,7148
159,CDG,SVO,5943
160,CDG,TPE,7148
161,CDG,TUN,2369
162,CDG,YYZ,7148
163,DEL,ADD,6429
164,DEL,AMS,11906
165,DEL,BKK,11906
166,DEL,BOM,6972
167,DEL,CAN,11906
168,DEL,CDG,11906
169,DEL,DOH,11906
170,DEL,DXB,11906
171,DEL,EWR,11906
172,DEL,FRA,11906
173,DEL,HKG,11906
174,DEL,ICN,11906
175,DEL,IST,11906
176,DEL,JED,10523
177,DEL,JFK,11906
178,DEL,KUL,11906
179,DEL,LHR,11906
180,DEL,MEL,5901
181,DEL,NBO,5388
182,DEL,ORD,11906
183,DEL,PEK,11906
184,DEL,PVG,11906
185,DEL,SIN,11906
186,DEL,SVO,9898
187,DEL,SYD,9898
188,DEL,TPE,11906
189,DOH,ADD,5479
190,DOH,ALG,3758
191,DOH,AMS,10146
192,DOH,BCN,7403
193,DOH,BKK,10146
194,DOH,BOM,5942
195,DOH,CAI,9511
196,DOH,CAN,10146
197,DOH,CDG,10146
198,DOH,CGK,5942
199,DOH,CKG,4591
200,DOH,CMN,5029
201,DOH,DEL,9511
202,DOH,DXB,10146
203,DOH,FRA,10146
204,DOH,GRU,10146
205,DOH,HGH,3758
206,DOH,HKG,10146
207,DOH,IAH,10146
208,DOH,ICN,10146
209,DOH,IST,10146
210,DOH,JED,8968
211,DOH,JFK,10146
212,DOH,JNB,6904
213,DOH,KUL,10146
214,DOH,LHR,10146
215,DOH,LOS,4591
216,DOH,MAD,10146
217,DOH,MEL,5029
218,DOH,MNL,6417
219,DOH,NBO,4591
220,DOH,ORD,10146
221,DOH,PEK,10146
222,DOH,PVG,10146
223,DOH,SGN,6417
224,DOH,SIN,10146
225,DOH,TUN,3362
226,DXB,ADD,4193
227,DXB,ADL,1242
228,DXB,ALG,2876
229,DXB,AMS,7765
230,DXB,ATL,7765
231,DXB,BCN,5666
232,DXB,BKK,7765
233,DXB,BOM,4547
234,DXB,BOS,5666
235,DXB,CAI,7280
236,DXB,CAN,7765
237,DXB,CDG,7765
238,DXB,CGK,4547
239,DXB,CMN,3848
240,DXB,CPT,613
241,DXB,DEL,7280
242,DXB,DFW,7765
243,DXB,DOH,7765
244,DXB,FRA,7765
245,DXB,GRU,7765
246,DXB,HKG,7765
247,DXB,HND,3848
248,DXB,IAH,7765
249,DXB,ICN,7765
250,DXB,IST,7765
251,DXB,JED,6864
252,DXB,JFK,7765
253,DXB,JNB,5284
254,DXB,KMG,3514
255,DXB,KUL,7765
256,DXB,LAX,7765
257,DXB,LGW,2876
258,DXB,LHR,7765
