start,end,distance
YYZ,SVO,7466.729065392603
LOS,ATL,9395.42471501921
TUN,IST,1669.5392712148314
FRA,CLT,7059.467923025222
FRA,DEN,8088.740468127886
FRA,JED,4131.673917552311
LGW,IST,2461.1068859606166
LHR,LOS,5004.059643807035
AMS,JFK,5847.52291496293
CPT,JNB,1271.0680698639771
JNB,HKG,10674.618545991281
CMN,CAI,3683.733149690175
CMN,LGW,2066.2017017865146
ADD,BKK,6757.834948503529
CAI,HRG,402.0859690550715
CAI,NBO,3544.8079792628414
HRG,IST,1633.9498895019933
BCN,TUN,859.1635656854196
MAD,CAI,3349.6457093275676
CDG,BSB,8756.301766176883
CDG,MIA,7371.4720053060155
MEX,CLT,2498.583530566306
AKL,ICN,9656.273890755401
JED,JFK,10225.399718524306
DXB,ADD,2518.9583517770516
DXB,CPT,7643.572294593876
TPE,HND,2121.586767618719
HND,FRA,9360.828365049412
MNL,DOH,7282.485461769451
MNL,LAX,11740.144884000212
BSB,EZE,2358.2411067064386
BSB,SDU,928.2303740205534
BOG,IAH,3584.942668953532
CLO,BOG,279.31232849505614
CLO,LIM,1732.6565353433834
BOM,SIN,3921.8161271590216
HKG,DEL,3746.397807899659
HKG,ICN,2069.7283105905226
HKG,MNL,1145.858097244869
HKG,SHA,1231.9986086240679
DEL,DXB,2183.598648378189
DMK,KUL,1247.6119473988365
SGN,DMK,741.1505486000387
CGK,KUL,1128.997826217179
KUL,AKL,8703.353493321629
KUL,BOM,3624.3709096937964
KUL,CDG,10441.96310009589
KUL,MEL,6314.984433906124
SIN,ADL,5402.017090296606
SIN,BCN,10899.375056388555
MEL,KUL,6314.984433906124
ADL,CBR,970.2054500167142
ADL,HKG,6875.839117872849
CBR,SYD,236.17677168617956
SYD,TPE,7285.423917552107
PEK,XIY,933.5407318235957
CAN,HGH,1038.356713000103
SZX,KUL,2568.2905948928383
XIY,HGH,1192.5089231818274
KMG,DXB,4760.198438235122
KMG,ICN,2612.838476941426
KMG,KUL,2489.3417668663024
HGH,KMG,1813.3715774887241
SHA,KMG,1924.6351654294122
PVG,SIN,3805.884537915641
PHX,SFO,1046.038745871425
SFO,PEK,9494.068045982101
LAX,ATL,3125.7765263601905
EWR,PVG,11859.99089620373
IAH,MCO,1372.0004056236066
IAH,SFO,2627.186480172997
MIA,AMS,7442.815619347763
SEA,CDG,8049.155041064252
DFW,ATL,1174.5318236036692
ATL,BOG,3388.7321910739993
ATL,LOS,9395.42471501921
ATL,MIA,959.0645602676959
ATL,SCL,7588.47032916997
JFK,BCN,6150.227182054514
JFK,MAD,5762.180228596233
JFK,PHX,3458.119063673861
ORD,YYZ,700.352684753394
CLT,JFK,870.5292109233269
LAS,LGW,8432.734041630814
BKK,DOH,5279.962355265103
BKK,SGN,716.1744739165006
ICN,HND,1209.0790512017848
ICN,MAD,9965.197317425162
ICN,SYD,8342.753253633273
EZE,MEX,7397.372946180054
NBO,CAN,8678.716078461148
DOH,CKG,5400.5853094681515
DOH,CMN,5734.436255465116
IST,CAN,7882.105170696857
IST,DEL,4564.971794143523
IST,DOH,2755.925285148609
IST,IAH,10231.908081071102
IST,ICN,7922.9566130484745
