start,end
CMN,EZE
CBR,DMK
BSB,HGH
CAI,SIN
DFW,IST
CMN,EWR
HKG,PVG
ALG,MEL
HRG,TUN
BOG,SGN
BCN,DMK
CGK,CMN
IST,SCL
HND,MCO
PHX,SEA
CLO,SCL
DEL,PEK
ATL,BOM
GRU,XIY
CAI,SDU
DMK,PVG
BOS,HKG
AMS,CKG
CPT,MCO
ATL,LGW
DFW,SDU
CKG,DMK
PVG,XIY
DOH,SCL
MNL,SZX
CLT,MEL
PVG,YYZ
LOS,YYZ
CGK,YYZ
SGN,SHA
ATL,JED
MEL,SGN
BKK,NBO
CLO,EZE
HKG,LAX
CLT,TUN
MCO,SFO
CLO,DFW
BOG,BSB
ALG,TPE
DMK,TPE
CLO,JNB
CAN,IST
MEX,PVG
CAI,PVG
GRU,SEA
DOH,TUN
EZE,MNL
ADD,DFW
HND,LAS
JED,SHA
CGK,MEL
HRG,SZX
AKL,SZX
CKG,HGH
DFW,MCO
SIN,SZX
CLT,LOS
BCN,SIN
CKG,HKG
DMK,HGH
SFO,SGN
DEN,SDU
HND,MAD
DEN,GRU
ALG,HKG
CPT,LAX
DOH,TPE
CGK,CLT
IAH,PEK
CMN,JED
FRA,KMG
BOS,LIM
ADL,LHR
LAS,MIA
BOS,DOH
KMG,MIA
BCN,JNB
ADL,LIM
LAX,NBO
JED,LAX
LAX,MEX
DEN,SEA
CPT,ICN
JFK,SHA
CLT,LAX
DMK,MIA
ICN,TPE
ADD,BKK
LIM,MEL
HGH,LIM
AKL,BOS
CLO,PEK
AMS,SHA
LAS,SEA
